,Days stayed per week number of season,,,,,,,,,,,,,,,,,,
ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
162,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
51,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
164,0,0,0,0,0,0,0,--,0,0,0,0,0,0,2,0,0,1,0
110,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
106,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
85,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
118,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
109,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
47,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0
35,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0
113,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0
25,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
23,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0
53,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0
97,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0
100,0,0,1,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0
135,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,3,1,1,0
41,0,0,0,1,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0
127,3,2,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,2,7,3,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,2,2,0
139,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,1,2,0,0
52,0,0,0,0,0,0,0,0,0,2,3,2,3,0,2,1,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4
32,0,0,0,0,2,2,5,1,0,4,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,2,6,2,3,1,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5,2,0,0
12,0,0,0,0,5,4,0,0,0,5,0,0,0,0,0,0,0,0,0
72,0,1,1,0,0,0,0,0,0,6,0,2,5,1,0,0,0,0,0
147,0,0,0,3,0,0,2,0,1,2,0,0,0,2,2,3,1,1,0
163,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,3,6
129,0,0,0,0,0,0,0,1,4,7,6,1,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,7,7,4,1,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,5,7,6,1,0,0,0,0
161,0,0,0,0,0,0,0,0,0,3,0,0,5,4,2,5,0,0,0
152,3,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,3,2,3
150,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,0,0,0
83,0,0,2,2,1,1,7,0,0,3,1,0,1,0,0,0,1,0,0
74,5,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,3,3,4,4,1,3,0,1,0,0
34,1,1,2,1,3,1,0,2,3,1,1,0,0,1,0,1,2,1,0
39,0,0,0,0,0,0,0,3,7,7,2,0,1,0,1,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,1,5,6,6,3,0,0,0,0
14,0,0,0,0,0,0,0,0,0,5,3,6,3,3,0,1,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,6
62,0,6,6,3,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0
33,0,0,2,0,6,3,6,3,0,3,0,0,0,0,1,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,4,6
104,0,0,0,0,0,0,0,0,0,0,6,7,6,4,1,0,0,0,0
66,4,2,6,5,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,1,7,7,7,0,3,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,0,4,5,6
124,6,3,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,4,4,1,2,2,0,1,2,2,0,0,1,2,0,5,1,0
93,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,5,4,5,7,5,3,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,6,6,6,4,4,3,3,0,0,0
178,0,0,0,0,2,0,0,0,0,2,2,2,1,5,1,5,3,3,6
92,0,0,0,0,0,0,0,0,0,0,0,5,4,5,7,4,5,2,0
140,0,0,0,0,0,0,0,0,5,1,4,5,3,3,2,4,3,2,2
185,0,0,0,0,1,5,5,2,2,2,3,3,4,4,5,0,1,1,0
95,0,2,6,7,7,3,4,7,2,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,7,6,2,2,4,3,4,4,2,3,1,1,1,0
111,6,2,0,3,3,4,1,7,4,3,4,1,2,1,1,0,0,0,0
30,0,0,0,0,0,0,0,0,0,6,5,6,7,6,3,0,6,4,0
59,0,0,0,0,0,0,0,2,0,7,4,7,5,7,3,6,2,1,0
171,1,0,0,0,1,7,7,7,6,5,1,5,4,0,0,0,0,0,0
168,6,5,5,6,7,7,7,1,5,3,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,7,7,3,0,7,7,7,7,0,0,0,0,0,0
24,0,0,0,0,0,1,5,1,3,6,2,3,2,4,6,4,3,6,0
86,0,0,0,4,6,0,0,0,0,0,0,2,0,1,7,7,7,7,5
81,0,5,3,4,3,4,5,4,2,5,0,1,0,0,2,4,2,2,1
40,1,0,0,2,6,7,7,7,4,5,2,5,0,1,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,4,4,7,5,7,5,7,7,2,0
155,0,0,0,0,1,7,7,5,7,7,2,2,2,5,1,3,0,0,0
63,0,0,2,5,7,6,5,7,6,7,4,0,0,0,0,0,0,0,0
130,0,0,5,7,7,0,0,4,4,4,6,1,5,7,2,0,0,0,0
22,5,4,2,0,0,0,0,0,0,2,2,3,6,7,2,1,5,7,6
158,0,0,0,1,1,1,2,0,6,0,4,6,4,3,6,6,6,2,0
137,4,5,5,5,5,7,7,7,4,3,0,0,2,2,0,0,2,0,0
44,5,3,4,3,5,5,7,7,3,4,6,7,6,0,0,0,0,0,0
75,6,1,1,0,0,0,0,0,7,7,7,6,6,7,6,6,3,2,0
38,0,0,0,0,4,5,7,7,0,5,5,2,6,6,7,6,6,1,0
67,0,0,4,7,3,4,2,3,7,6,7,3,5,4,4,3,2,2,3
28,0,0,0,0,0,2,6,6,7,5,4,1,4,5,6,7,6,7,6
6,0,--,0,0,6,6,4,6,6,5,2,4,3,3,5,7,6,6,3
2,0,0,0,0,0,0,0,1,7,7,7,7,7,7,7,7,7,7,5
3,1,0,3,0,7,5,2,3,5,5,5,7,7,7,5,5,7,2,0
77,6,7,7,7,7,7,7,7,7,6,1,0,5,0,0,0,2,0,0
88,0,0,0,0,1,6,7,7,5,5,7,7,7,6,2,7,5,2,3
107,0,0,7,4,7,7,7,5,7,4,6,2,0,0,0,4,5,7,6
138,2,5,7,5,3,4,6,3,2,5,5,5,1,6,6,6,3,4,6
70,0,0,0,0,6,7,7,4,3,7,6,6,7,7,6,7,5,5,2
125,1,1,3,7,2,0,5,7,7,7,5,5,2,6,5,3,6,7,6
76,0,0,0,0,1,4,7,7,6,7,7,7,5,7,7,7,7,6,0
173,0,0,5,7,6,5,6,4,5,5,5,5,6,3,7,7,7,4,0
64,1,0,4,5,6,4,5,7,6,6,6,6,3,7,5,7,5,2,3
101,6,6,6,7,6,7,7,6,6,5,4,4,5,5,3,2,1,1,2
112,0,2,7,7,7,7,7,7,7,7,7,7,6,5,2,2,2,2,0
169,0,2,5,5,7,7,7,7,7,7,6,7,7,7,4,6,2,2,0
48,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,0,0,0
133,0,4,5,5,5,5,6,1,6,7,7,7,7,7,7,7,7,7,7
55,5,5,7,2,5,6,6,7,7,6,6,7,7,6,3,7,5,7,6
116,3,5,7,7,7,7,7,7,5,5,7,7,7,7,4,6,4,4,4
91,6,2,2,1,4,7,7,7,7,7,7,4,5,7,6,7,6,7,6
60,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,2,0
5,6,7,7,7,7,7,7,6,7,7,7,6,6,7,7,7,6,2,0
177,0,7,7,7,6,7,7,7,7,7,7,7,6,7,6,7,6,7,6
160,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,7,6
